id,vendor_id,title,price,inventory,net_weight,packaged_weight,preparation_day,description,category_id,category_title,category_parent_title,category_root_title,photo_url,url,created_at,updated_at,unit_quantity,unit_type,sales_count,view_count,can_add_to_cart,has_variation,rating,rating_count,stats_updated_at
4576532,433888,نبات تخته زعفرانی مخصوص فروش عمده 8 کیلویی(ارسال با اتوبوس ),5300000,0,7700,10000,3,"با توجه به اینکه در زمان ارسال با پست نبات ها ممکنه شکسته بشن فقط با باربری ارسال خواهند شد که سالم بدست شما عزیزان برسند و  تحویل درب منزل نیست.
کرایه حمل تا شهر مقصد توسط فروشنده انجام میشود و سایر هزینه ها از جمله انبارداری بر عهده خریدار خواهد بود.
بعد از ارسال بیجک باربری ارسال خواهد شد و مازاد هزینه ارسال و بسته بندی مرجوع میشود .
(ارسال از اصفهان)",157,قند و شکر,خوار و بار,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/09-06/DcjxCU1iNFAwuPlroy1bbEgCJ25WDv9RvDqH6DecnYd6SlIlY2.jpg,https://basalam.com/khanbaar/product/4576532,2022-09-06T10:24:17+04:30,2024-10-06T09:16:38+03:30,,,6,1042,1,0,4.7,3,2024-12-19T16:44:43.098844
4580040,433888,پودر دارچین برند عزت یک کیلویی  ,3260000,19,1000,1500,4,"پودر دارچین یک کیلویی
درجه یک و باکیفیت
کیفیت تمام محصولات غرفه خانبار  تضمین میشود",133,ادویه,ادویه و چاشنی,مواد غذایی,https://statics.basalam.com/public-6/users/qXG5zE/07-04/P8IZKVzvRybNrzduwjXCu9FjTYstxFul5rbsoxLcl2fN84dlEH.jpg,https://basalam.com/khanbaar/product/4580040,2022-09-06T17:48:09+04:30,2024-12-16T15:56:53+03:30,1000.0,گرم,85,1115,1,0,4.9,40,2024-12-19T16:44:44.784046
4580084,433888,کاپوچینو گوددی  اصلی بسته 30 عددی ,1850000,1,650,750,5,"پک 30 عددی کاپوچینو گوددی 
صددرصد اورجینال محصول اندونزی 
ضمانت اصالت و کیفیت 
تولید 2022
انقضا 2024
",198,محصولات کافئین دار,نوشیدنی,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/09-06/BVen3RIg0hPfQBp3PgxqMVgIPhXREpm7du630AhmDER7FqFBBf.jpg,https://basalam.com/khanbaar/product/4580084,2022-09-06T17:52:57+04:30,2023-01-26T13:39:15+03:30,650.0,,8,1850,1,0,5.0,5,2024-12-19T16:44:46.466547
4592115,433888,پک 120 عددی زعفران یک مثقالی مصطفوی اعلا  تاریخ بسته بندی جدید 1401 فروش عمده ,182400000,0,552,800,5,"شرکت زعفران مصطفوی، یکی از بزرگترین تولیدکنندگان و صادرکنندگان زعفران جهان است. این شرکت علاوه‌بر زعفران، در تهیه محصولات دیگر چون عسل، نبات، هل، نقل و آبنبات، خشکبار و زرشک فعالیت می‌کند. 
بسته یک مثقالی زعفران مصطفوی به حدی کیفیت دارد که جزو پرفروش‌ترین محصولات غذایی یکی از پلتفرم های  معروف فروش آنلاین قرار گرفته و از ۵ ستاره ۴.۴ ستاره از خریدارانش گرفته است. در این محصول از زعفران سرگل استفاده شده و طعم، رنگ و حتی پخش بوی بسیار مطلوبی دارد. کیفیت بالا باعث شده ۹۲ درصد از هزاران خریدار این زعفران خرید آنرا به دیگران پیشنهاد کنند.",138,زعفران,ادویه و چاشنی,مواد غذایی,https://statics.basalam.com/public-4/users/qXG5zE/06-19/H76yI5U8gKNmDQWKnefczzOtgG5CxfSuOBHKL3drpF9eTTJ7gC.jpg,https://basalam.com/khanbaar/product/4592115,2022-09-08T12:06:06+04:30,2022-09-29T09:45:23+03:30,552.0,,1,35,1,0,4.0,1,2024-12-19T16:44:48.171288
4606328,433888,روغن آفتابگردان طبیعی پک 5 عددی (تخمه ایرانی) ,4500000,6,4500,6000,4,"موم گیری و تصفیه شده 
بدون پالم و ناخالصی 
با تضمین کیفیت و به شرط آزمایش 
روغن گیری شده با روش پرس سرد 
در این روش که حرارت خواص روغن خالص و طبیعی را از بین نمی برد محصول نهایی حاوی اسید های چرب ضروری به ویژه امگا 3، آنتی اکسیدان های طبیعی و ویتامین های مختلف است. از طرفی روغنی که به روش پرس سرد تهیه می شود عطر، طعم و رنگ طبیعی خود را حفظ می کند.
✅ روغن تخمه ایرانی درجه 1 
✅ غیرتراریخته 
✅ روغن گیری با روش پرس سرد و تصفیه کامل و موم گیری شده بدون مزه تلخی 
✅ ماندگاری : حداقل 1 سال 
✅ ارسال با پست  

",154,روغن‌های خوراکی,خوار و بار,مواد غذایی,https://statics.basalam.com/public-8/users/qXG5zE/05-29/EEbmxbCA2eJ4XFXWJLYbrAgR2gc2dv59KH6pLX1PLHT07h9YWa.jpg,https://basalam.com/khanbaar/product/4606328,2022-09-10T16:39:07+04:30,2024-12-10T14:17:02+03:30,4500.0,گرم,147,4302,1,0,4.8,76,2024-12-19T16:44:49.848626
4612261,433888,نبات نی دار سفید و زرد معمولی کارتن 5کیلویی عمده (ارسال با اتوبوس ),3000000,0,5000,6000,3,"با توجه به اینکه در زمان ارسال با پست نبات ها ممکنه شکسته بشن فقط با باربری ارسال خواهند شد که سالم بدست شما عزیزان برسند و  تحویل درب منزل نیست.
کرایه حمل تا شهر مقصد توسط فروشنده انجام میشود و سایر هزینه ها از جمله انبارداری بر عهده خریدار خواهد بود.
بعد از ارسال بیجک باربری ارسال خواهد شد و مازاد هزینه ارسال و بسته بندی مرجوع میشود
(ارسال از اصفهان )",157,قند و شکر,خوار و بار,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/09-11/z6B5qM4K1LFlnTam1bGYEQmHpe3RYw0LJbhbf50b6SzgGlTTRB.jpg,https://basalam.com/khanbaar/product/4612261,2022-09-11T13:02:05+04:30,2024-10-06T09:16:42+03:30,,,7,1693,1,0,4.0,6,2024-12-19T16:44:51.519662
4612274,433888,نبات نی دار مخصوص پوشال دار کارتن 8 کیلویی عمده (تحویل به باربری شهر),7000000,0,7700,10000,3,"با توجه به اینکه در زمان ارسال با پست نبات ها ممکنه شکسته بشن فقط با باربری ارسال خواهند شد که سالم بدست شما عزیزان برسند و  تحویل درب منزل نیست.
کرایه حمل تا شهر مقصد توسط فروشنده انجام میشود و سایر هزینه ها از جمله انبارداری بر عهده خریدار خواهد بود.
بعد از ارسال بیجک بابری برای شما ارسال خواهد شد و مازاد هزینه ارسال و بسته بندی مرجوع خواهد شد.
(ارسال از اصفهان)",157,قند و شکر,خوار و بار,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/09-11/CE2pt3byoYJb61waeIs2q12lkNe3kRaNmfSWnPYivycpr45Xs6.jpg,https://basalam.com/khanbaar/product/4612274,2022-09-11T13:03:18+04:30,2024-10-06T09:16:45+03:30,,,13,1561,1,0,4.8,9,2024-12-19T16:44:53.216844
4641563,433888,نبات چوبی سفید سبک  کارتن 8 کیلویی عمده,3520000,7,7600,10000,4,"حدود 45 تا 50 عدد نبات در یک کیلو 
به صرفه و سبک 
ویژه رستوران ها و کافی شاپ 
با توجه به اینکه در زمان ارسال با پست نبات ها ممکنه شکسته بشن فقط با باربری ارسال خواهند شد که سالم بدست شما عزیزان برسند",157,قند و شکر,خوار و بار,مواد غذایی,https://statics.basalam.com/public-3/users/qXG5zE/09-15/GXlHWGcottHKOSPt98iVITivRCpzAdZwAsThdkW0QNkPAz7CKS.jpg,https://basalam.com/khanbaar/product/4641563,2022-09-15T09:19:38+04:30,2022-11-26T15:39:12+03:30,7600.0,,2,579,1,0,3.0,2,2024-12-19T16:44:54.907105
4658383,433888,پاکت حبابدار  B4 سایز 325در270 فروش عمده بسته 50 عددی نرخ هر عدد 3000,1500000,19,2500,5000,5,"پاکت حبابدار B4
سایز محصول ۲7۰ در ۳۲5 می باشد 
در بسته بندی ۵۰ عددی 

",629,ابزار بسته بندی,بسته بندی و حمل و نقل,خدمات کسب و کار,https://statics.basalam.com/public/users/qXG5zE/06-06/kZXUhkhPGiKfbuDnbusTK9g4qdPbQueSLXZrrChAGwqh5t6BhI.jpg,https://basalam.com/khanbaar/product/4658383,2022-09-18T10:04:33+04:30,2023-01-04T13:23:53+03:30,,,1,175,1,0,5.0,1,2024-12-19T16:44:56.636692
4695749,433888,پک 200 عددی زعفران یک مثقالی مصطفوی اعلا  تاریخ بسته بندی جدید 1401 فروش عمده ,302000000,0,920,1200,5,"شرکت زعفران مصطفوی، یکی از بزرگترین تولیدکنندگان و صادرکنندگان زعفران جهان است. این شرکت علاوه‌بر زعفران، در تهیه محصولات دیگر چون عسل، نبات، هل، نقل و آبنبات، خشکبار و زرشک فعالیت می‌کند. 
بسته یک مثقالی زعفران مصطفوی به حدی کیفیت دارد که جزو پرفروش‌ترین محصولات غذایی یکی از پلتفرم های  معروف فروش آنلاین قرار گرفته و از ۵ ستاره ۴.۴ ستاره از خریدارانش گرفته است. در این محصول از زعفران سرگل استفاده شده و طعم، رنگ و حتی پخش بوی بسیار مطلوبی دارد. کیفیت بالا باعث شده ۹۲ درصد از هزاران خریدار این زعفران خرید آنرا به دیگران پیشنهاد کنند.",138,زعفران,ادویه و چاشنی,مواد غذایی,https://statics.basalam.com/public-4/users/qXG5zE/06-19/H76yI5U8gKNmDQWKnefczzOtgG5CxfSuOBHKL3drpF9eTTJ7gC.jpg,https://basalam.com/khanbaar/product/4695749,2022-09-24T10:18:22+03:30,2022-09-29T09:45:20+03:30,920.0,,0,9,1,0,0.0,0,2024-12-19T16:44:58.371333
